name,finding_class,finding_type,category,state,severity,resource_name,resource_display_name,resource_type,project_id,project_display_name,event_time,create_time,description,finding.next_steps,finding.vulnerability.cve.id,finding.vulnerability.cve.cvssv3,finding.vulnerability.cve.observed_in_the_wild,finding.vulnerability.cve.zero_day,finding.vulnerability.cve.exploitation_activity,finding.external_exposure.public_ip_address,finding.compliances,finding.compliance_details.frameworks,external_uri
organizations/123456/sources/1111/findings/aaa001,VULNERABILITY,CONTAINER_IMAGE_VULNERABILITY,CONTAINER_IMAGE_VULNERABILITY,ACTIVE,HIGH,//container.googleapis.com/projects/prod-project/zones/us-central1-a/clusters/prod-cluster/k8s/namespaces/default/pods/api-server-abc,api-server-abc,k8s_node,prod-project,Production Project,2024-01-15T10:30:00Z,2024-01-15T10:30:00Z,"A high severity vulnerability CVE-2021-44228 (Log4Shell) was detected in container image.",Review and update the container image to patch CVE-2021-44228. Rebuild with a patched base image.,CVE-2021-44228,{"base_score": 10.0},true,false,ACTIVE,false,"[{""standard"":""CIS"",""version"":""1.2"",""ids"":[""5.1"",""5.2""]}]","[{""name"":""CIS"",""version"":""1.2"",""controls"":[""5.1""]}]",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa002,VULNERABILITY,CONTAINER_IMAGE_VULNERABILITY,CONTAINER_IMAGE_VULNERABILITY,ACTIVE,HIGH,//container.googleapis.com/projects/prod-project/zones/us-central1-b/clusters/prod-cluster/k8s/namespaces/payments/pods/payment-svc-xyz,payment-svc-xyz,k8s_node,prod-project,Production Project,2024-01-15T11:00:00Z,2024-01-15T11:00:00Z,"High severity vulnerability CVE-2021-45046 found in container image.",Update the base image and rebuild the container.,CVE-2021-45046,{"base_score": 9.0},true,false,HIGH,false,"[{""standard"":""PCI-DSS"",""version"":""3.2"",""ids"":[""6.2""]}]","",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa003,MISCONFIGURATION,FLOW_LOGS_DISABLED,FLOW_LOGS_DISABLED,ACTIVE,MEDIUM,//compute.googleapis.com/projects/prod-project/regions/us-central1/subnetworks/prod-subnet-1,prod-subnet-1,google.compute.Subnetwork,prod-project,Production Project,2024-01-10T09:00:00Z,2024-01-10T09:00:00Z,"VPC Flow Logs are disabled for subnet prod-subnet-1. This reduces network visibility and may violate compliance requirements.","Enable VPC Flow Logs on the subnet via Console or: gcloud compute networks subnets update prod-subnet-1 --enable-flow-logs --region=us-central1",,,,,,false,"[{""standard"":""CIS"",""version"":""1.2"",""ids"":[""3.9""]}]","",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa004,MISCONFIGURATION,FLOW_LOGS_DISABLED,FLOW_LOGS_DISABLED,ACTIVE,MEDIUM,//compute.googleapis.com/projects/prod-project/regions/us-east1/subnetworks/prod-subnet-2,prod-subnet-2,google.compute.Subnetwork,prod-project,Production Project,2024-01-10T09:05:00Z,2024-01-10T09:05:00Z,"VPC Flow Logs are disabled for subnet prod-subnet-2.",Enable VPC Flow Logs on the subnet.,,,,,,false,"[{""standard"":""CIS"",""version"":""1.2"",""ids"":[""3.9""]}]","",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa005,MISCONFIGURATION,PRIVATE_GOOGLE_ACCESS_DISABLED,PRIVATE_GOOGLE_ACCESS_DISABLED,ACTIVE,LOW,//compute.googleapis.com/projects/dev-project/regions/us-central1/subnetworks/dev-subnet-1,dev-subnet-1,google.compute.Subnetwork,dev-project,Development Project,2024-01-12T14:00:00Z,2024-01-12T14:00:00Z,"Private Google Access is disabled for this subnet. Resources without external IP addresses cannot reach Google APIs.",Enable Private Google Access for the subnet.,,,,,,false,"","",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa006,MISCONFIGURATION,PRIVATE_GOOGLE_ACCESS_DISABLED,PRIVATE_GOOGLE_ACCESS_DISABLED,ACTIVE,LOW,//compute.googleapis.com/projects/dev-project/regions/us-east1/subnetworks/dev-subnet-2,dev-subnet-2,google.compute.Subnetwork,dev-project,Development Project,2024-01-12T14:05:00Z,2024-01-12T14:05:00Z,"Private Google Access is disabled for this subnet.",Enable Private Google Access for the subnet.,,,,,,false,"","",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa007,MISCONFIGURATION,FIREWALL_RULE_LOGGING_DISABLED,FIREWALL_RULE_LOGGING_DISABLED,ACTIVE,MEDIUM,//compute.googleapis.com/projects/prod-project/global/firewalls/allow-ssh-all,allow-ssh-all,google.compute.Firewall,prod-project,Production Project,2024-01-08T16:00:00Z,2024-01-08T16:00:00Z,"Firewall rule allow-ssh-all has logging disabled. Enable logging to capture connection attempts for security monitoring.",Enable logging for the firewall rule.,,,,,,false,"[{""standard"":""CIS"",""version"":""1.2"",""ids"":[""3.7""]}]","",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa008,VULNERABILITY,WEAK_SSL_POLICY,WEAK_SSL_POLICY,ACTIVE,HIGH,//compute.googleapis.com/projects/prod-project/global/targetHttpsProxies/prod-api-lb,prod-api-lb,google.compute.TargetHttpsProxy,prod-project,Production Project,2024-01-14T11:00:00Z,2024-01-14T11:00:00Z,"The HTTPS load balancer uses a weak SSL policy that allows TLS 1.0 and deprecated cipher suites.","Update the SSL policy to MODERN profile with minimum TLS 1.2. gcloud compute ssl-policies create modern-policy --profile=MODERN --min-tls-version=TLS_1_2",,,,,,true,"[{""standard"":""PCI-DSS"",""version"":""3.2"",""ids"":[""4.1""]}]","[{""name"":""PCI-DSS"",""controls"":[""4.1""]}]",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa009,MISCONFIGURATION,SERVICE_ACCOUNT_KEY_NOT_ROTATED,SERVICE_ACCOUNT_KEY_NOT_ROTATED,ACTIVE,MEDIUM,//iam.googleapis.com/projects/prod-project/serviceAccounts/deploy-sa@prod-project.iam.gserviceaccount.com/keys/key-abc123,deploy-sa@prod-project.iam.gserviceaccount.com,google.iam.ServiceAccountKey,prod-project,Production Project,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,"Service account key has not been rotated in over 90 days. Regular key rotation reduces the risk of compromised credentials.","Rotate the service account key: gcloud iam service-accounts keys create new-key.json --iam-account=deploy-sa@prod-project.iam.gserviceaccount.com",,,,,,false,"[{""standard"":""CIS"",""version"":""1.2"",""ids"":[""1.7""]}]","",https://cloud.google.com/security-command-center
organizations/123456/sources/1111/findings/aaa010,MISCONFIGURATION,BUCKET_LOGGING_DISABLED,BUCKET_LOGGING_DISABLED,ACTIVE,MEDIUM,//storage.googleapis.com/prod-data-bucket,prod-data-bucket,google.storage.Bucket,prod-project,Production Project,2024-01-11T09:00:00Z,2024-01-11T09:00:00Z,"Access logging is not enabled for Cloud Storage bucket prod-data-bucket. Access logging provides an audit trail for bucket access.","Enable access logging: gsutil logging set on -b gs://audit-log-bucket gs://prod-data-bucket",,,,,,false,"[{""standard"":""CIS"",""version"":""1.2"",""ids"":[""5.4""]}]","",https://cloud.google.com/security-command-center
